,Train,Test
0,1.6866301469480336,1.3873795628813606
1,1.1532421537608035,1.1216877866437964
2,1.0186738463397762,0.9580623783023338
3,0.9474370424150581,0.9831049306523958
4,0.8995258540489014,1.1538692526768612
5,0.8590000919357271,0.901247125535808
6,0.8218578644457307,0.9561675285472827
7,0.8067957919883638,0.8222226219808774
8,0.7826341778641858,0.8390883449882748
9,0.7594868166450045,0.8562353406697634
10,0.7447784950107182,0.7858157666815381
11,0.7221604288604239,0.8684470738913372
12,0.7080470143264871,0.771186529869231
13,0.6922423316313662,0.7817902062803391
14,0.6777507435441185,0.7651842517501188
15,0.6656719128141497,0.7661701586236133
16,0.6538520843112564,0.7514346083439165
17,0.6319945899182611,0.7609076782670872
18,0.6246747140763454,0.7337743435105318
19,0.6071751944724245,0.7739033328964773
20,0.6050969157604166,0.850501237515204
21,0.6004337630343582,0.7517610383982724
22,0.5801714160678643,0.7585501326520327
23,0.5729282416609768,0.7690438493059263
24,0.5599614366951993,0.7261313352980103
25,0.548677147414663,0.733945818116467
26,0.5416687965505053,0.7602894339494839
27,0.5343986952344035,0.7291815478826641
28,0.5281855153499941,0.7215144896543655
29,0.5157661361277748,0.7431710182647687
30,0.5074109008134168,0.7281176804572438
31,0.4968396167119045,0.727310403714343
32,0.4896229386833589,0.7348173257259608
33,0.49013916849250133,0.711143477080335
34,0.4818092194898076,0.6989615815366338
35,0.47338358621857096,0.7161838593751146
36,0.466809777767796,0.7139982084888128
37,0.4585675576053465,0.7231964858412196
38,0.45516807031273115,0.7069663128075192
39,0.44014491707072567,0.701241781555656
40,0.43838910994366226,0.7223496006536445
41,0.43630373505932335,0.7226122459419683
42,0.4227447888558882,0.7391906255453534
43,0.42244884471145244,0.7079926979322031
44,0.4115145693171355,0.7031216009466305
45,0.406486822930005,0.7155157758608186
46,0.4028090682596374,0.7068183803076865
47,0.39896785009069696,0.7257257286645975
48,0.3940533738620072,0.7113293621676396
49,0.3901095547660408,0.7141484059791435
50,0.3824903328774848,0.7170282148679433
51,0.37721235257126795,0.7164193950965257
52,0.3688690107352524,0.7260566201724538
53,0.3687884798627775,0.7244505524509345
54,0.36450818011658803,0.725346800725869
55,0.35889495827324125,0.7176483967668982
56,0.3541958392534305,0.7116632868009959
57,0.3489881122599414,0.7387106594127347
58,0.34761298637873916,0.7190699920528887
59,0.34046610858083165,0.7171016217005901
60,0.33747238662669554,0.715797759339719
61,0.3343067533704472,0.7261282318534461
62,0.3344324203151221,0.7141886504306415
63,0.32795406248772185,0.7208299340112284
64,0.3244036377148205,0.7191323019101388
65,0.32168797779777564,0.7140730530551948
66,0.3166018195166841,0.7199315036058398
67,0.316222809272621,0.7194560876093631
68,0.31197164894662144,0.7217535793998229
69,0.3077236941690566,0.7173021322574864
70,0.30602833196107854,0.7185690444134708
71,0.3011254143580521,0.7172623925804182
72,0.29692331864946936,0.7231820569962728
73,0.29529116865109256,0.7214067456195147
74,0.29174833675122924,0.7431199379589856
75,0.29056150034706935,0.7234495453421913
76,0.2845366076999788,0.7196278094517536
77,0.2808691258859388,0.7227027331409676
78,0.28044782142898966,0.725269428256309
79,0.2801436561130481,0.7206374272866836
80,0.2800928886757596,0.7188668523691931
81,0.27869205817251264,0.7314246333203882
82,0.27199946697355154,0.712529002269473
83,0.2707386968028327,0.7246067266138392
84,0.27012634813477593,0.7227262967458924
85,0.26477037338708814,0.7190178583048173
86,0.26275749167907736,0.7195433885037542
87,0.2602269228997506,0.7207669182759825
88,0.26400151984576276,0.7143744262322667
89,0.2605892676543383,0.719222020078352
90,0.2576190847474793,0.716327590646774
91,0.25325929925384627,0.7233284590486995
92,0.24886304631430312,0.7296739367513824
93,0.24830947422320543,0.7120371298203799
94,0.2464275858865875,0.7211954157803419
95,0.24271833723058384,0.7238520395731973
96,0.2459495199740129,0.7206458834900855
97,0.23866254203249,0.7259981290434985
98,0.24398147971655854,0.7199926108727226
99,0.24231230439211404,0.7332958133200798
100,0.23826127004153072,0.7273903228985503
